1080;PLAT OVALE EN CERAMIQUE T 1;;6.50;9.10;U
1081;PLAT OVALE EN CERAMIQUE T2;;3.80;6.42;U
1082;PLAT OVALE EN CERAMIQUE T3;;3.00;5.88;U
1083;BOL EN CERAMIQUE PM;;1.50;2.67;U
1084;ASSIETTE CREUSE EN CERAMIQUE;;2.90;4.49;U
1085;PLAT EN CERAMIQUES;;2.90;4.49;U
1086;RAVIER EN CERAMIQUE PM;;1.50;2.67;U
1087;MARBRE BLANC 218*20 CM;;21.78;36.65;U
1088;MARBRE BLANC DI 218*20 MM;;21.78;36.65;U
1089;MARBRE BLANC 530*162*20 MM;;24.75;41.89;U
1090;MARBRE NOIR MARQUINA 218*20 MM;;30.08;57.60;U
1091;MARBRE NOIR MARQUINA 265*325*20 CM;;23.37;81.16;U
1092;MARBRE NOIR MARQUINA 530*162*20 MM;;24.37;81.16;U
1093;PATIN ROND ANTI BRUIT 20 MM;;1.27;1.70;U
1094;LOW INOX POLI 218*H95;;0.00;0.00;U
1095;BOL EN MELAMINE 12 CM;;9.01;13.50;U
1096;LOUCHE A SOUPE 9;;10.71;13.00;U
1097;LOUCHE A SOUPE 10;;11.78;14.85;U
1098;CADRE DE VUE EN BOIS;;29.75;53.55;U
1099;PLATEAU CARRE 2121 A/C  AP NICKEL;;126.69;175.00;U
1100;PLATEAU CARRE 2121 A/P NICKEL;;101.24;149.00;U
1101;Plateau large Classique avec poignées teinte Noyer 60*40;;67.83;152.08;U
1102;Plateau moderne rectangle laqué noir a poignées 60*40;;64.26;143.99;U
1103;Plateau moderne carré laqué noir / poignées intégrés 40*40;;48.79;114.24;U
1104;Petit socle. Acajou teinte Noyer   / Bords extrémités incurv;;0.00;0.00;U
1105;PLATEAU CARRE 21*21 A/P DORE;;0.00;0.00;U
1106;PLATEAU CARRE 21*21 DORE A/P A/C;;105.84;151.25;U
1107;PLATEAU A THE 30 CM A ANSE INTEGREE;;24.31;34.76;U
1108;BOL A FRITS EN PORCELAINE;;2.98;4.20;U
1109;PLAT OVAL EN PORCELAINE;;12.49;14.53;U
1110;ASSIETTE DESSERT EN PORCELAINE;;4.28;5.29;U
1111;ASSIETTE PLATE EN PORCELAINE 28 CM;;9.16;10.54;U
1112;ASSIETTE A PASTA EN PORCELAINE;;15.00;19.52;U
1113;TASSE / SOUS TASSE EXPRESSO EN PORCELAINE;;5.00;6.36;U
1114;VERRE A VIN 42 CL AIREN;;2.60;4.28;U
1115;VERRE LONG DRING 30 CL ISLAND;;1.96;3.21;U
1116;VERRE A WISKEY 30 ISLAND;;1.96;3.15;U
1117;PLATEAU CHENE FRS 325*265*H75;;59.50;130.70;U
1118;PLATEAU CHENE FRD 325*265*H40;;53.55;119.50;U
1119;PLATEAU CHENE FRS 530*165*H40;;53.55;119.38;U
1120;PLANCHE CHENE FRS 530*165*H20;;29.75;79.55;U
1121;LARGE ROUND PLINTH CHENE FRS DI 32;;59.50;130.70;U
1122;STAND NOIR 530*160*95;;0.00;0.00;U
1123;STAND NOIR 530*165*185;;0.00;0.00;U
1124;PLATEAU RECTANGULAIRE 45 CM S/A;;57.45;0.00;U
1125;PLAT A POISSON 32CM T/P 5032;;9.00;16.35;U
1126;ASSIETTE EN MELAMINE DI 33;;9.10;14.99;U
1127;RAMQUIN  529 MELAMINE;;1.82;3.01;U
1128;TEBSI AVEC COUVERCLE GM EN CERAMIQUE;;30.00;42.80;U
1129;ASSIETTE EN MELAMINE DI 26 CM;;0.00;0.00;U
1130;ASSIETTE ROND DI 26 CM MELAMINE;;9.10;14.99;U
1131;ASSIETTE ROND 26 CM MELAMINE;;9.10;14.98;U
1132;SUPPORT INOX 46*36;;85.85;246.55;U
1133;SALON DE JARDIN 4 PLACES;;630.00;746.00;U
1134;ASS/ROND MILLAMINE NOIR 664;;15.58;21.81;U
1135;SALON SYPHAX 4 PLACES;;630.00;787.50;U
1136;TASSE MOKA T/P 1603309/3;;1.60;2.24;U
1137;SOUS TASSE MOKA 0103413 T/P;;2.10;2.94;U
1138;PLAT OVAL35 T/P 1601228/3;;7.25;10.15;U
1139;PLAT OVAL 33 1601233ND;;10.57;14.79;U
1140;ASSIETTE PLATE OVALE T/P 228ND;;8.50;11.90;U
1141;COUPE TRITON 30 CM;;0.00;0.00;U
1142;VERRE A EAU KARAT (WISKY);;2.17;3.50;U
1143;CHAISE LONGUE /TRANSAT PISCINE;;83.00;149.94;U
1144;CUILLERE A CAFE/THE INOX;;1.20;2.33;U
1145;PLATEAU RECT 40cm INOX 18/10 DORE;;79.97;98.82;U
1146;PLATEAU RECT 35cm INOX 18/10 DORE;;56.36;78.62;U
1147;BONBONNIERE COULEUR DE BOIS;;10.00;13.00;U
1148;CUILLERE A MOKA /EXPRESSO;;0.67;1.61;U
1149;VERRINE GASTRO;;2.32;3.51;U
1150;VERRINE AMUSE BOUCHE;;1.25;2.98;U
1151;VERRE A THE CANON;;2.10;3.60;U
1152;CARAFE AMPHORA  0.6;;6.90;11.19;U
1153;VERRE KAWA;;0.85;1.20;U
